build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
411049156,b1329ed764e0e3c0470c97f37b798d7cc4918630,174,master,passed,985,2018-08-01 23:27:50 UTC,411049157,411049158,411049159,411049160,411049161,411049162,pull_request
411047732,b4c93ca75e1658238748b5a24ebb6a43d0a029eb,174,master,failed,1057,2018-08-01 23:21:48 UTC,411047733,411047734,411047735,411047736,411047737,411047738,pull_request
411027674,6bd61c87d8d8c27547f448dcda1957b1b5474bba,174,master,canceled,802,2018-08-01 23:15:20 UTC,411027675,411027676,411027677,411027678,411027679,411027680,pull_request
411011336,7b7d1021ea40a1fea290cf264416d4d1d318c5ca,174,master,canceled,724,2018-08-01 22:06:52 UTC,411011337,411011338,411011339,411011340,411011341,411011342,pull_request
411008739,b2203fd5b14f711dfe2b3b4e70d4247b3852bd4c,,fix-race,failed,1098,2018-08-01 22:10:55 UTC,411008740,411008741,411008742,411008743,411008744,411008745,push
410998888,fd1f58189a13b901c523544f93e6383e94b12fe5,174,master,failed,1187,2018-08-01 20:58:53 UTC,410998889,410998890,410998891,410998892,410998893,410998894,pull_request
409621759,3b606a347b7258739994150c749db9f918e3cc50,173,master,passed,2106,2018-07-29 21:07:07 UTC,409621760,409621761,409621762,409621763,409621764,409621765,pull_request
408211410,bdebbe73fd74505e8fdad7299555337993befd33,173,master,passed,2174,2018-07-25 19:30:21 UTC,408211411,408211412,408211413,408211414,408211415,408211416,pull_request
408157792,8291a92984eeb647ad290c9bfb1e21f469488f3d,173,master,failed,1996,2018-07-25 17:10:41 UTC,408157793,408157794,408157795,408157796,408157797,408157798,pull_request
403356629,f221afff4721b4bff8e0321c30a58c9bcf44e7c9,171,master,passed,1650,2018-07-13 01:09:40 UTC,403356630,403356631,403356632,403356633,403356634,403356635,pull_request
403356491,cdf28d37045c517f8970564e6020d6fc6f7619e2,,adding-secrets-baseline,passed,1680,2018-07-13 01:01:12 UTC,403356492,403356493,403356494,403356495,403356496,403356497,push
389367130,183db85f9dc5aebb2cc1b700d95b6588f4db84c1,,master,passed,1948,2018-06-07 18:07:37 UTC,389367131,389367132,389367133,389367134,389367135,389367136,push
389366709,abddafec2f5045588ec695e8e618e3b239ca5e7d,168,master,errored,216,2018-06-07 18:04:10 UTC,389366710,389366711,389366712,389366713,389366714,389366715,pull_request
389366641,c66a5f92cac8a9265b4f9c744c3009db0004d1e5,,update-release-instructions-for-ppc,failed,369,2018-06-07 18:00:20 UTC,389366642,389366643,389366644,389366645,389366646,389366647,push
389359227,9125e504d0e25a8c47779e9431ed9102d3e0af30,168,master,failed,2221,2018-06-07 17:45:18 UTC,389359228,389359229,389359230,389359231,389359232,389359233,pull_request
388523141,7585bc28119dd6bbbbc0cbfb1e5edfebe0ee2722,,master,passed,1588,2018-06-05 23:38:33 UTC,388523142,388523143,388523144,388523145,388523146,388523147,push
388499229,b8d4ea95a3dbe88ef3f9b118973dfb3217155d1b,167,master,passed,1661,2018-06-05 22:31:17 UTC,388499230,388499231,388499232,388499233,388499234,388499235,pull_request
388498998,9dee5e44051246bda8c82b764108a55c30dd36ec,,upload-assets-ourselves,passed,1600,2018-06-05 22:39:24 UTC,388498999,388499000,388499001,388499002,388499003,388499004,push
388498944,b356f70907b32901da69f42cb26c27a1b92f6013,,upload-assets-ourselves,canceled,0,,388498945,388498946,388498947,388498948,388498949,388498950,push
388498627,792437446cae6f566d4a5988644bdcd0047632c3,,upload-assets-ourselves,errored,308,2018-06-05 21:50:01 UTC,388498628,388498629,388498630,388498631,388498632,388498633,push
388493317,c64fbb711a6b9a3055309574be3d2e8ee01d9199,,upload-assets-ourselves,canceled,1923,,388493318,388493319,388493320,388493321,388493322,388493323,push
388488518,2c8b68fe14de0178b950adc917469259a04e5905,,upload-assets-ourselves,canceled,1057,,388488519,388488520,388488521,388488522,388488523,388488524,push
388476609,14e29ccecdade4207f6f817fcd5931a48c3d9ca3,,upload-assets-ourselves,canceled,1809,2018-06-05 21:15:46 UTC,388476610,388476611,388476612,388476613,388476614,388476615,push
388469746,3ade7b4225d08a108f39b7759c0ca26ac4a48571,,upload-assets-ourselves,canceled,223,,388469748,388469751,388469752,388469753,388469754,388469755,push
388441145,1de920df9daff6c7970701d598dd4379f68d4b76,,master,passed,1613,2018-06-05 19:46:47 UTC,388441146,388441147,388441148,388441149,388441150,388441154,push
388373430,5e666964d5a5cbedc5d6672768236f1315270f52,166,master,passed,1407,2018-06-05 16:33:49 UTC,388373431,388373432,388373433,388373434,388373435,388373436,pull_request
388372582,9262b018280eb4d5b421081f3484c569a714b258,,travis-ppc,passed,1407,2018-06-05 16:30:26 UTC,388372583,388372584,388372585,388372586,388372587,388372588,push
388372107,3db1afccea5886a398ebdb7f539c4c984ae299b0,,travis-ppc,canceled,53,2018-06-05 16:29:43 UTC,388372108,388372109,388372110,388372111,388372112,388372113,388372114,push
388371644,ccd74be68f06b4d2e40d8174eae65d95e752d809,,travis-ppc,canceled,197,2018-06-05 16:28:20 UTC,388371645,388371646,388371647,388371648,388371649,388371650,push
388371005,784a92eafaa4d0083872854b7ce010c161af1dbe,,travis-ppc,canceled,206,2018-06-05 16:26:55 UTC,388371006,388371007,388371008,388371009,388371010,388371011,push
388370498,969d6b7d21863d1c1415692f2f5eadf56cdb97be,,travis-ppc,canceled,307,2018-06-05 16:25:14 UTC,388370499,388370500,388370501,388370502,388370503,388370504,push
388365110,3db1afccea5886a398ebdb7f539c4c984ae299b0,,travis-ppc,canceled,1366,2018-06-05 16:11:56 UTC,388365111,388365112,388365113,388365114,388365115,388365116,388365117,push
388098166,73a216019bec478cbb99e934ab7176da68a8cdb6,,master,passed,1164,2018-06-05 03:32:17 UTC,388098167,388098168,388098169,388098170,388098171,388098172,push
388096672,0fa01beb86d21d38ff74840496b27fe76dd01e36,165,master,passed,1096,2018-06-05 03:26:17 UTC,388096673,388096674,388096675,388096676,388096677,388096678,pull_request
388096659,233843bcb60739a1810638f3e56d922f3c221514,,upload-artifacts,passed,1218,2018-06-05 03:22:04 UTC,388096660,388096661,388096662,388096663,388096664,388096665,push
388095316,3ae2d2b604afe88bf7b9d9e51a8c2ffd3d616840,165,master,failed,1038,2018-06-05 03:16:17 UTC,388095317,388095318,388095319,388095320,388095321,388095322,pull_request
388093833,6c6e60170018c2c5a9496f9adc3dc3d5ca77d0f9,,upload-artifacts,passed,1262,2018-06-05 03:08:31 UTC,388093834,388093835,388093836,388093837,388093838,388093839,push
388092801,4e3c64b45997c4bd8c29309d1bb9f2a4202e9628,,upload-artifacts,failed,888,2018-06-05 03:02:29 UTC,388092802,388092803,388092804,388092805,388092806,388092807,push
388092496,f1811272c7a6c82bd204169babb49ca34ae34552,,upload-artifacts,canceled,311,2018-06-05 03:00:43 UTC,388092497,388092498,388092499,388092500,388092501,388092502,push
388090250,80bd60475943783b0ed2aa149619963d36ddd7cf,,upload-artifacts,canceled,903,2018-06-05 02:51:43 UTC,388090251,388090252,388090253,388090254,388090255,388090259,push
388087307,9910f340fe6ea33e6d350111029e3a187976983f,,upload-artifacts,passed,1122,2018-06-05 02:36:31 UTC,388087309,388087316,388087317,388087318,388087319,388087320,push
386318746,0ffe859513bd3483454063f84afd9a092c43ddd1,,master,failed,1481,2018-05-31 18:46:11 UTC,386318747,386318748,386318749,386318750,386318751,386318752,push
384223095,06bc089c0a4eb0995452f8a2b2d0a0fc2ed0f64e,164,master,passed,1013,2018-05-26 23:06:31 UTC,384223096,384223097,384223098,384223099,384223100,384223101,pull_request
384223088,6ead12bedf4468aebe215e870c2dad1044f4e033,,update-readme,failed,937,2018-05-26 23:03:15 UTC,384223089,384223090,384223091,384223092,384223093,384223094,push
383534483,0c64cfcdd0d8f96558174e15f21719da232a4ea8,164,master,passed,1078,2018-05-25 05:04:50 UTC,383534484,383534485,383534486,383534487,383534488,383534489,pull_request
383534104,66c04fbf7262e2e5078a91b31f72d57677c173da,,update-readme,passed,1164,2018-05-25 05:01:27 UTC,383534105,383534106,383534107,383534108,383534109,383534110,push
