build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
202941340,905bdf5df7d095bc2bbfa670e5988f8d44b5b070,577,master,passed,171,2017-02-18 14:55:17 UTC,202941341,202941342,202941343,202941344,pull_request
202940703,2582d956ba665475168475f3bd22ff00708215ec,,remove-get-comments,passed,223,2017-02-18 14:51:40 UTC,202940704,202940705,202940706,202940707,push
202939820,fda9a6ff0d1b8017384c7b6319fe5287ddd3f358,,master,passed,257,2017-02-18 14:47:03 UTC,202939821,202939822,202939823,202939824,push
202938642,b82768fdddff61d506e2383e46e3e80719e0e58c,576,master,passed,199,2017-02-18 14:42:09 UTC,202938643,202938644,202938645,202938646,pull_request
202938627,d358a17cde2829dea5758ff100fd2f16ff918e3e,,ruby-2.1,passed,168,2017-02-18 14:42:06 UTC,202938630,202938632,202938633,202938634,push
202938113,9332f6172ce180e0ebbe5a560f30ffce9873d7cd,,ruby-2.1,passed,242,2017-02-18 14:38:59 UTC,202938114,202938115,202938116,202938117,push
202937865,0c45159f694cb24ab33af80c6cea8454a7a5b4df,,ruby-2.1,errored,158,2017-02-18 14:37:13 UTC,202937866,202937868,202937869,202937871,push
202937667,fd3f92919e1e1686b0e0f84b1a0706b95b62fb6a,,ruby-2.1,passed,131,2017-02-18 14:36:04 UTC,202937668,202937669,202937670,push
202937584,e46f11b3ecf70f04418c6c2e28734866bb932fae,,master,passed,164,2017-02-18 14:35:38 UTC,202937585,202937586,202937587,202937588,push
202937155,8ac0fc09017053c65eeba450ac29dbec38ffdbed,,ruby-2.1,errored,119,2017-02-18 14:33:08 UTC,202937156,202937157,202937158,push
202933021,e897aaf839495894cac885a00e3c1db6112bf547,575,master,passed,185,2017-02-18 14:10:50 UTC,202933022,202933023,202933024,202933025,pull_request
202932988,a53418954a137ee10b75d16265e9a5066babc1f8,,refactor-search,passed,174,2017-02-18 14:10:15 UTC,202932990,202932992,202932994,202932995,push
202932767,cb307897077677e9403d93c42df5dbeee3790854,575,master,passed,163,2017-02-18 14:08:43 UTC,202932768,202932769,202932770,202932771,pull_request
202932762,5a2efbb4e51543de4871aeb3531acf556034b35f,,refactor-search,passed,163,2017-02-18 14:08:40 UTC,202932763,202932764,202932765,202932766,push
202831769,a185a67880458bd670980716078f09dea9757f95,575,master,passed,143,2017-02-18 01:26:17 UTC,202831770,202831771,202831772,202831773,pull_request
202831072,ef63ba428e8cb5c71b598bb8aefa046b586fbd13,,refactor-search,passed,171,2017-02-18 01:21:15 UTC,202831073,202831074,202831075,202831076,push
202812488,c051021cdeafdd8afc18af1ecc2188986502f5e7,,master,passed,144,2017-02-17 23:42:43 UTC,202812489,202812490,202812491,202812492,push
202812143,0b751297e339f72a18435daf51e7e27268789a37,574,master,passed,176,2017-02-17 23:41:10 UTC,202812144,202812145,202812146,202812149,pull_request
202811909,57a7d92d10383bb72b53890790f872751adcce72,,kwasimensah-master,passed,182,2017-02-17 23:40:26 UTC,202811910,202811911,202811912,202811913,push
202811675,091c521e6e3467fa45ed748c2330c98bb56852cb,,master,passed,151,2017-02-17 23:39:39 UTC,202811676,202811677,202811678,202811679,push
202811415,740236cdc4f35e9e9cf0019689dcd7d4271984e8,,kwasimensah-master,passed,149,2017-02-17 23:38:44 UTC,202811416,202811417,202811418,202811419,push
202811215,77b66098d04faaeed7cb297b27b1342b99c8c5a7,,master,passed,160,2017-02-17 23:37:44 UTC,202811216,202811217,202811218,202811219,push
202809895,beb48e23fa3cb3033d42c5b31a754f552ce6d7a8,573,master,passed,160,2017-02-17 23:36:25 UTC,202809896,202809897,202809898,202809899,pull_request
202809885,6039690bb98837a8e9d3e5c216e293ec7245ee57,,update-json,passed,166,2017-02-17 23:32:22 UTC,202809886,202809887,202809888,202809889,push
202809729,2a0c1228d7a473a3186a7997795c5404f69fef35,573,master,passed,178,2017-02-17 23:31:47 UTC,202809730,202809731,202809732,202809733,pull_request
202808262,2490d8e41ce9da4d2d0cb739626334d3292a0fc6,,update-json,passed,157,2017-02-17 23:25:14 UTC,202808264,202808269,202808270,202808274,push
202739165,a61c6a4d916d3ef73d809e7745111800516b3b27,572,master,passed,150,2017-02-17 19:32:53 UTC,202739167,202739169,202739172,202739173,pull_request
202733453,3ee08d151875550f1aeb5f52448b18074c6de7fd,571,master,failed,152,2017-02-17 19:14:21 UTC,202733454,202733455,202733456,202733457,pull_request
202646416,1479c13ccd3bd19eedaa7fc66187cf03f2e7760f,555,master,passed,162,2017-02-17 14:51:10 UTC,202646417,202646420,202646421,202646422,pull_request
202492236,2742f9286e87dd087185530da6e1add5fac35f80,,v3.0.0.beta1,passed,140,2017-02-17 03:35:25 UTC,202492237,202492238,202492239,202492240,push
202492230,359ff37303609efb80838d04675870c6881f4e59,,v2.5.0,errored,209,2017-02-17 03:34:52 UTC,202492231,202492232,202492233,202492234,202492235,push
202491896,2742f9286e87dd087185530da6e1add5fac35f80,,master,passed,157,2017-02-17 03:32:02 UTC,202491897,202491898,202491899,202491900,push
202490874,d45834d25e86d3d97b0228e24099bbf8712b8308,570,master,passed,153,2017-02-17 03:25:25 UTC,202490875,202490876,202490877,202490878,pull_request
202490867,81475299fb56265d7247d19870ec5c67a34aae5e,,remove-old-stuff,passed,166,2017-02-17 03:25:18 UTC,202490868,202490869,202490870,202490871,push
202466534,01f68fffd24b1f30a59806b861ab04f84d0a74c3,570,master,failed,153,2017-02-17 01:05:11 UTC,202466535,202466538,202466540,202466542,pull_request
202466521,47d525dbbc8e23a05f51c00ead5e52fb5a853108,,remove-old-stuff,failed,182,2017-02-17 01:04:27 UTC,202466522,202466524,202466526,202466528,push
202466337,fa769addaf11f6963573129a4591f42a0a60e02a,570,master,failed,183,2017-02-17 01:03:54 UTC,202466338,202466339,202466340,202466341,pull_request
202465180,3430d838a367a91bedbdd9dcdde5ce1a1cd1b5a1,,remove-old-stuff,failed,153,2017-02-17 01:00:18 UTC,202465181,202465182,202465183,202465184,push
202462224,0becdea08958211875b0c311bfd460b2fdf4c38e,,master,passed,157,2017-02-17 00:47:57 UTC,202462225,202462226,202462227,202462228,push
202461405,6f1de1f5137a917df522ae78d01755745a2a0a4e,569,master,passed,158,2017-02-17 00:44:19 UTC,202461406,202461407,202461408,202461409,pull_request
202461339,be7704407d4d54110be796351e7e6a5dbaf07565,,remove-fql,passed,171,2017-02-17 00:43:56 UTC,202461340,202461341,202461342,202461343,push
202461166,d70793da603cb345cf16cbf83352fe0ce3d65a35,,master,passed,180,2017-02-17 00:43:09 UTC,202461167,202461168,202461169,202461170,push
202461041,91c163c9123d667d9ac0c11eb40313e6a3e802cc,,remove-fql,passed,150,2017-02-17 00:42:34 UTC,202461042,202461043,202461044,202461046,push
