build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
400827178,591ff4d0793331ef77eeb2c5a6e24b969b7bdd46,227,master,passed,2417,2018-07-06 10:40:16 UTC,400827179,400827180,400827181,400827182,400827183,400827184,pull_request
398562766,faa407458ab453046104cc80391cd1f2bba7b0f9,225,master,passed,2198,2018-06-30 11:37:40 UTC,398562767,398562768,398562769,398562771,398562773,398562776,pull_request
396288947,03750f552cae8b97c3b77958cecf7a1e2762061d,223,master,failed,1876,2018-06-25 08:21:50 UTC,396288948,396288949,396288950,396288951,396288952,396288953,pull_request
396252691,56a5b9f5e1f1575687e0a4825919da5ad570dfbf,223,master,failed,2019,2018-06-25 06:01:48 UTC,396252692,396252693,396252694,396252695,396252696,396252697,pull_request
396252340,af4705311103eeb4cb1ab082b80ed3684139b9c3,223,master,canceled,0,,396252341,396252342,396252343,396252344,396252345,396252346,pull_request
396252236,3e7ab952f08fb45a2bdc6c0742653ec873dd0443,223,master,canceled,0,,396252237,396252238,396252239,396252240,396252241,396252242,pull_request
396251922,b75bcfb9e29e7c4ff145a4cd9c0cebec2d984c6b,223,master,failed,1954,2018-06-25 05:40:40 UTC,396251923,396251924,396251925,396251926,396251927,396251928,pull_request
396226438,3ba19587196c572ce3a2c83fdfb0ad7d6fba65b0,223,master,failed,1975,2018-06-25 02:55:43 UTC,396226439,396226440,396226441,396226442,396226443,396226444,pull_request
395468794,552a7092d30d9eb21374d6371d76ba4a6bd66877,223,master,failed,2755,2018-06-22 13:35:57 UTC,395468797,395468798,395468799,395468800,395468801,395468802,pull_request
395464955,7dee09435f73051161a2324d57b62e2d8b010cd2,223,master,failed,2128,2018-06-22 13:25:01 UTC,395464956,395464957,395464958,395464959,395464960,395464961,pull_request
395404660,cf0bbd38a8807ef95ddab8e91b11241acc23acf4,223,master,failed,1985,2018-06-22 10:14:44 UTC,395404661,395404662,395404663,395404664,395404665,395404666,pull_request
395380576,71ac912d9df622e54b190351a6a5ad1d49ff4bbb,223,master,failed,1927,2018-06-22 09:00:53 UTC,395380577,395380578,395380579,395380580,395380581,395380582,pull_request
395370760,3c83545f9ca4e75e3d48e155ea28af75db559114,223,master,failed,1902,2018-06-22 08:29:54 UTC,395370761,395370762,395370763,395370764,395370765,395370766,pull_request
394817519,0d5a0ceb10cf9ab89fdd744cc8c50a83134f6697,,master,passed,2061,2018-06-21 01:02:24 UTC,394817520,394817521,394817522,394817523,394817524,394817525,push
394655865,67362f3038af30243ab02a5628633672db222def,222,master,passed,2206,2018-06-20 17:03:13 UTC,394655866,394655867,394655868,394655869,394655870,394655871,pull_request
392368245,c7fc447d8719c92329938360438713b886d4f358,222,master,passed,2127,2018-06-14 17:43:29 UTC,392368246,392368247,392368248,392368249,392368250,392368251,pull_request
389986133,e2150783cd35f5b607daca48afd8c57ec54cc995,,master,passed,2109,2018-06-09 01:10:57 UTC,389986134,389986135,389986136,389986137,389986138,389986139,push
389533225,db3ee9ee8931e51af7158114b9d02bf93d1a7811,,master,passed,2055,2018-06-08 03:02:27 UTC,389533226,389533227,389533228,389533229,389533230,389533231,push
389136003,393ff0bfbef1a408f476cda0096a7e00390d0d95,221,master,passed,2264,2018-06-07 08:19:02 UTC,389136004,389136005,389136006,389136007,389136008,389136009,pull_request
381521042,5d6fca44a948d2be89a9702de7717f0168403d3d,,master,passed,2042,2018-05-21 04:52:21 UTC,381521043,381521044,381521045,381521046,381521047,381521048,push
381520457,a77af288a1b62de2873ac2fef1a22079b14546d6,218,master,errored,1709,2018-05-21 04:46:50 UTC,381520458,381520459,381520460,381520461,381520462,381520463,pull_request
381516504,a4de9c282a88b58ae35674533ecdb8617b7cbe35,218,master,passed,2097,2018-05-21 04:25:33 UTC,381516505,381516506,381516507,381516508,381516509,381516510,pull_request
