build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
451830376,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3755,2018-11-07 11:08:28 UTC,451830377,451830378,451830379,451830380,451830381,451830382,451830383,cron
450803391,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4472,2018-11-05 11:15:42 UTC,450803392,450803393,450803394,450803395,450803396,450803397,450803398,cron
450184495,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4400,2018-11-03 11:06:02 UTC,450184496,450184497,450184498,450184499,450184500,450184501,450184502,cron
449284755,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,4434,2018-11-01 11:05:11 UTC,449284756,449284757,449284758,449284759,449284760,449284761,449284762,cron
448266772,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3333,2018-10-30 11:19:47 UTC,448266775,448266778,448266781,448266784,448266788,448266791,448266792,cron
447357637,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3376,2018-10-28 11:21:34 UTC,447357638,447357639,447357640,447357641,447357642,447357643,447357644,cron
446634046,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3344,2018-10-26 11:02:03 UTC,446634047,446634048,446634051,446634052,446634053,446634054,446634055,cron
445596450,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3407,2018-10-24 11:01:10 UTC,445596451,445596452,445596453,445596454,445596455,445596456,445596457,cron
444596636,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3031,2018-10-22 11:00:10 UTC,444596637,444596638,444596639,444596640,444596641,444596642,444596643,cron
444047838,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3147,2018-10-20 10:59:21 UTC,444047839,444047840,444047841,444047842,444047843,444047844,444047845,cron
443124995,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3309,2018-10-18 10:57:55 UTC,443124996,443124997,443124998,443124999,443125000,443125001,443125002,cron
442112344,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3299,2018-10-16 10:56:36 UTC,442112345,442112346,442112347,442112348,442112349,442112350,442112351,cron
441244849,f9a344c59fa3c395a1e7db8ff65b47c6c30db156,,master,passed,3086,2018-10-14 10:56:08 UTC,441244850,441244851,441244852,441244853,441244854,441244855,441244856,cron
