"login","name","language","num_watchers","num_external_contributors","num_prs","num_issues","active_years","num_travis_builds"
"thoughtbot","paperclip","Ruby",7798,312,570,1361,"8",1454
"igor-alexandrov","wisepdf","Ruby",250,5,9,8,"3",52
"JodaOrg","joda-time","Java",1010,29,79,212,"7",237
"agoragames","leaderboard","Ruby",167,10,38,5,"4",116
"cloudfoundry","bosh","Ruby",661,112,556,346,"5",6357
"projectblacklight","blacklight","Ruby",305,43,513,710,"6",2563
"Diaoul","subliminal","Python",456,15,68,384,"4",319
"lardawge","carrierwave_backgrounder","Ruby",344,37,92,125,"4",222
"mdxp","nodejs-cookbook","Ruby",118,33,63,37,"5",126
"jruby","activerecord-jdbc-adapter","Ruby",367,103,273,395,"9",764
"clayallsopp","formotion","Ruby",420,29,112,129,"3",212
"psychopy","psychopy","Python",199,42,608,329,"7",1486
"prawnpdf","prawn","Ruby",2827,108,278,617,"7",1096
"collectiveidea","audited","Ruby",1275,46,87,143,"9",145
"Julian","jsonschema","Python",356,26,94,144,"4",450
"ops4j","org.ops4j.pax.web","Java",71,10,27,0,"5",1151
"lantins","resque-retry","Ruby",101,20,52,34,"5",215
"benhamner","Metrics","Python",229,3,10,4,"3",86
"lookfirst","jmxtrans","Java",118,7,32,1,"4",51
"geotools","geotools","Java",204,75,892,0,"4",1987
"otwcode","otwarchive","Ruby",157,53,2129,13,"7",4108
"rubiii","savon","Ruby",143,4,36,4,"4",148
"awestruct","awestruct","Ruby",199,34,236,247,"5",799
"rightscale","right_link","Ruby",66,14,515,6,"6",243
"nipy","dipy","Python",67,16,517,180,"6",2698
"jsqu99","spree_flexi_variants","Ruby",110,23,52,28,"4",187
"JackDanger","permanent_records","Ruby",65,13,22,18,"4",74
"opscode-cookbooks","build-essential","Ruby",90,22,60,8,"3",56
"cheezy","page-object","Ruby",321,33,88,219,"4",809
"jenseng","immigrant","Ruby",199,6,4,20,"3",65
