build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
747587952,9b375457bba7482342be244b1e97b810467625e7,6691,master,canceled,0,,747587953,747587954,747587955,747587956,747587957,747587958,747587959,747587960,747587961,747587962,747587963,747587964,747587965,pull_request
747587859,f903809101486eb0bac941d34ae543360531174e,,master,canceled,0,,747587860,747587861,747587862,747587863,747587864,747587865,747587866,747587867,747587868,747587869,747587870,747587871,747587872,push
747587742,91b051a5b0940a5d9474e6a8a07047a60c4f7836,6692,master,canceled,0,,747587743,747587744,747587745,747587746,747587747,747587748,747587749,747587750,747587751,747587752,747587753,747587754,747587755,pull_request
747587695,a73cc5ec9db3fc774252ad17b17ced1a04ba8a35,6679,master,canceled,0,,747587696,747587697,747587698,747587699,747587700,747587701,747587702,747587703,747587704,747587705,747587706,747587707,747587708,pull_request
747587675,e9f129287d65ef548e5d8f289f09bcabb3047da2,6691,master,canceled,0,,747587676,747587677,747587678,747587679,747587680,747587681,747587682,747587683,747587684,747587685,747587686,747587687,747587688,pull_request
747587649,d8fbf43aab9890b926a86521e6a3021aeb55518d,6682,master,canceled,0,,747587650,747587651,747587652,747587653,747587654,747587655,747587656,747587657,747587658,747587659,747587660,747587661,747587662,pull_request
747587603,72be25273f72d1125f345b4ff8bc7421da5796ce,,master,canceled,0,,747587604,747587605,747587606,747587607,747587608,747587609,747587610,747587611,747587612,747587613,747587614,747587615,747587616,push
747587519,3dab1897851d04b5bec9a920057a9170a9901c35,,master,canceled,0,,747587520,747587521,747587522,747587523,747587524,747587525,747587526,747587527,747587528,747587529,747587530,747587531,747587532,push
747587474,07e9c1b69418368d1e3275c64923605de001fb25,,master,canceled,0,,747587475,747587476,747587477,747587478,747587479,747587480,747587481,747587482,747587483,747587484,747587485,747587486,747587487,push
747587446,d76e2513abde1493c255c27a3ceabbbece3803c2,6686,master,canceled,-2874,2020-12-04 09:48:09 UTC,747587447,747587448,747587449,747587450,747587451,747587452,747587453,747587454,747587455,747587456,747587457,747587458,747587459,pull_request
747587301,c0c9b8976ead6b6a83562f4c6cf423a377583d33,6686,master,canceled,0,,747587302,747587303,747587304,747587305,747587306,747587307,747587308,747587309,747587310,747587311,747587312,747587313,747587314,pull_request
747458756,0bb4e4fd3dc785f577ce05a966c7605f44e7b2f5,6686,master,failed,4874,2020-12-03 18:31:51 UTC,747458757,747458758,747458759,747458760,747458761,747458762,747458763,747458764,747458765,747458766,747458767,747458768,747458769,pull_request
747393221,61783d737b5cdfcbc9436f866472a6b698cefa5f,,3.x,canceled,0,,747393222,747393223,747393224,747393225,747393226,747393227,747393228,747393229,747393230,747393231,747393232,747393233,747393234,push
747393132,af7183a501a2d268d27a74fba92ac3afc697090e,,master,canceled,0,,747393134,747393144,747393145,747393146,747393147,747393150,747393151,747393152,747393153,747393154,747393155,747393156,747393157,push
747392826,ad0f5d28440050e65a6999ca684ee4c694744ed5,,3.x,canceled,0,,747392827,747392828,747392829,747392830,747392831,747392832,747392833,747392834,747392835,747392836,747392837,747392838,747392839,push
747377083,490ed2a7967ae0465fd341d345e4cfa1ee59d25f,6690,master,canceled,0,,747377084,747377085,747377086,747377087,747377088,747377089,747377090,747377091,747377092,747377093,747377094,747377095,747377096,pull_request
747377065,3ff48ade790a73a6ab65c82d03732fd78a90752f,6678,master,canceled,0,,747377066,747377067,747377068,747377069,747377070,747377071,747377072,747377073,747377074,747377075,747377076,747377077,747377078,pull_request
